,model1_fc1,model2_fc1,model2_wa1
0,32405.98047,,
1,32557.00195,,
2,32758.39844,,
3,32922.35156,,
4,33031.60156,,
5,33218.01172,32405.98047,
6,33218.01172,32569.76563,
7,33266.33984,32808.125,
8,33351.80469,33010.97656,
9,33469.82031,33162.09375,
10,33595.0625,33393.92578,
11,33825.42188,33393.92578,33825.42188
12,33027.12891,33043.71094,33184.78516
13,33214.23438,33033.4375,33035.60156
14,33452.48828,33027.30469,33027.05469
15,33670.64453,33026.9375,33027.07813
16,33826.97266,33027.16406,33027.12891
17,34037.70313,33027.16406,34037.70313
18,33404.03125,33454.0625,33375.45313
19,33474.34375,33409.53516,33406.65625
20,33596.45313,33405.57031,33406.98047
21,33781.96875,33405.625,33404.97656
22,33944.39063,33404.49609,33404.03125
23,34181.78906,33404.49609,34181.78906
24,33735.14453,33767.25,33712.73438
25,33810.35547,33739.0625,33735.35156
26,33920.77344,33736.14844,33736.49219
27,34069.72656,33736.67188,33735.08594
28,34210.98438,33735.87109,33735.14453
29,34433.16016,33735.87109,34433.16016
30,34044.28516,34069.375,34025.14063
31,34139.96094,34048.78906,34042.12891
32,34258.71875,34045.01563,34044.70313
33,34392.15625,34045.53125,34043.69531
34,34519.07813,34044.59375,34044.28516
35,34743.39844,34044.59375,34743.39844
36,34357.18359,34381.49219,34337.70313
37,34429.66016,34360.82813,34354.94531
38,34523.90625,34357.10938,34357.54688
39,34647.87109,34357.63281,34356.57031
40,34772.05859,34356.78125,34357.18359
41,34979.67188,34356.78125,34979.67188
42,34639.32031,34656.125,34626.69922
43,34700.68359,34643.51563,34636.44531
44,34775.24219,34639.50391,34639.46094
45,34909.42969,34640.00781,34638.53125
46,35033.44531,34638.95313,34639.32031
47,35212.39844,34638.95313,35212.39844
48,34902.15625,34910.47656,34897.42969
49,34962.12109,34906.59766,34898.73828
50,35042.13281,34902.51563,34901.875
51,35147.07813,34902.71875,34901.26172
52,35263.95313,34901.59375,34902.15625
53,35434.75,34901.59375,35434.75
54,35148.65625,35156.30859,35143.5625
55,35247.125,35152.72656,35144.98047
56,35344.28125,35149.15625,35147.69141
57,35464.39453,35148.88281,35147.58594
58,35554.51172,35147.58594,35148.65625
59,35708.02344,35147.58594,35708.02344
60,35406.38281,35414.32422,35401.30078
61,35476.76563,35409.8125,35403.55469
62,35556.80078,35406.45703,35405.9375
63,35644.65625,35406.42188,35405.5625
64,35729.32813,35405.37109,35406.38281
65,35896.25781,35405.37109,35896.25781
66,35634.125,35635.55469,35635.09375
67,35697.83984,35637.70313,35631.03906
68,35768.88281,35634.47266,35633.44531
69,35856.71484,35634.13672,35633.41406
70,35921.46875,35633.19922,35634.125
71,36081.21094,35633.19922,36081.21094
72,35843.85156,35845.15625,35843.94922
73,35899.76563,35847.51563,35839.79688
74,35976.0625,35843.60156,35842.98438
75,36071.04297,35843.08594,35843.17578
76,36157.88281,35842.20313,35843.85156
77,36264.98438,35842.20313,36264.98438
78,36040.625,36040.04688,36042.51563
79,36092.82422,36044.1875,36036.59766
80,36160.61719,36040.5,36039.48438
81,36240.70313,36039.88281,36039.72266
82,36320.73438,36038.74219,36040.625
83,36426.28906,36038.74219,36426.28906
,,36219.16016,36224.42188
,,36224.85156,36217.12109
,,36221.34375,36219.90625
,,36220.34375,36220.55859
,,36219.10938,36221.58203